timestamp,red,green,blue,shoulder_y
2025-05-28 15:34:40.233,0,0,0,427.0
2025-05-28 15:34:40.532,120.51156633221851,88.26045150501672,86.78776477146042,429.0
2025-05-28 15:34:40.797,130.61028065893836,97.99374618669921,97.88910921293471,393.0
2025-05-28 15:34:41.066,127.3623188405797,97.83015199717215,97.33757511488159,349.5
2025-05-28 15:34:41.339,133.3001700680272,103.44914965986395,104.64268707482994,349.5
2025-05-28 15:34:41.613,135.05744255744256,106.71278721278722,106.85031635031635,369.0
2025-05-28 15:34:41.869,132.44105297157623,100.65358527131782,101.44040697674419,366.5
2025-05-28 15:34:42.141,137.5710498409332,103.44697773064688,103.59985860728173,370.0
2025-05-28 15:34:42.402,139.4235185185185,104.64444444444445,104.86907407407408,366.5
2025-05-28 15:34:42.663,138.08385259035072,103.58803631831938,104.10539433861491,366.5
2025-05-28 15:34:42.948,139.09844468009896,103.30187345351715,103.97189819724284,369.0
2025-05-28 15:34:43.227,136.9,101.89795918367346,102.92959183673469,366.0
2025-05-28 15:34:43.493,138.48907407407407,102.35537037037037,103.25351851851852,368.5
2025-05-28 15:34:43.747,136.46636029411764,101.421875,101.74871323529412,368.5
2025-05-28 15:34:44.050,136.30882352941177,101.54632352941177,102.0404411764706,368.5
2025-05-28 15:34:44.319,140.34074074074073,104.1037037037037,104.14203703703704,367.5
2025-05-28 15:34:44.578,138.7870749510415,103.05465551005875,103.22111447391846,368.5
2025-05-28 15:34:44.832,136.62408088235293,101.11636029411764,101.82683823529412,368.5
2025-05-28 15:34:45.092,135.63621323529412,100.38106617647058,100.84724264705882,369.0
2025-05-28 15:34:45.350,134.73170731707316,100.62256536234428,100.76750307071416,373.0
2025-05-28 15:34:45.611,139.50713712910985,107.18460304731356,106.50072173215717,364.0
2025-05-28 15:34:45.878,140.00204081632654,107.85442176870748,107.24761904761905,360.0
2025-05-28 15:34:46.134,144.9688888888889,108.09814814814816,108.78444444444445,370.5
2025-05-28 15:34:46.413,141.38247863247864,105.23407148407148,105.51146076146077,367.0
2025-05-28 15:34:46.674,143.31775067750678,103.9035682023487,103.93744354110208,365.5
2025-05-28 15:34:46.936,140.26029526029527,103.02136752136752,102.94677544677545,367.0
2025-05-28 15:34:47.196,133.27444852941176,99.18088235294118,99.47702205882354,364.0
2025-05-28 15:34:47.461,133.16260162601625,99.66260162601625,100.09579356663131,365.0
2025-05-28 15:34:47.725,132.68964298338636,99.11541180629197,99.63997879109226,363.5
2025-05-28 15:34:47.976,134.59782802207584,100.27933060352501,100.756275591953,363.5
2025-05-28 15:34:48.251,134.275,100.47465986394558,100.86207482993197,365.0
2025-05-28 15:34:48.517,133.211558854719,99.86055143160127,100.05425945563803,366.0
2025-05-28 15:34:48.787,132.54779411764707,99.15808823529412,99.4391544117647,366.5
2025-05-28 15:34:49.046,132.7741709071767,99.4697315318477,99.67889103351465,366.0
2025-05-28 15:34:49.303,133.80947331212442,99.81442205726405,100.06150583244963,365.0
2025-05-28 15:34:49.581,131.87334887334887,98.35858585858585,98.2960372960373,366.0
2025-05-28 15:34:49.844,130.37613263929055,97.59552727973781,98.0213996529786,368.5
2025-05-28 15:34:50.108,135.9941724941725,100.83857808857809,101.47358197358197,368.0
2025-05-28 15:34:50.373,134.78716020821284,100.38210911895122,100.81357239251976,369.0
2025-05-28 15:34:50.636,136.40948525159052,101.48756506651243,102.06458453826875,369.0
2025-05-28 15:34:50.894,137.16637306713642,101.66118614210217,102.14288510471717,369.5
2025-05-28 15:34:51.153,136.86577311577312,101.65967365967366,102.02544677544678,368.0
2025-05-28 15:34:51.431,136.46537037037038,101.78351851851852,101.91796296296296,368.0
2025-05-28 15:34:51.725,135.92433683460922,101.97151504361759,101.97560975609755,366.0
2025-05-28 15:34:52.005,135.93804521986826,101.77657112337546,101.91525725476232,367.5
2025-05-28 15:34:52.277,137.1359167148641,102.22074416811259,102.25371120107962,374.5
2025-05-28 15:34:52.539,134.97365141534627,101.25191383300694,101.33843688801852,369.5
2025-05-28 15:34:52.807,136.91735392174067,105.55693981400246,105.9771889805229,376.0
2025-05-28 15:34:53.064,135.82979851537647,103.17161541180629,104.07529162248144,412.0
2025-05-28 15:34:53.336,141.63313609467457,104.27120315581854,104.90019723865878,426.0
2025-05-28 15:34:53.594,138.6085185185185,101.54814814814814,102.28055555555555,418.0
2025-05-28 15:34:53.860,134.24977746127826,98.83371906711768,99.51682392736336,436.0
2025-05-28 15:34:54.116,133.4485185185185,93.85870370370371,94.65055555555556,429.5
2025-05-28 15:34:54.377,131.63962530929658,92.92841993637327,93.77571580063626,427.0
2025-05-28 15:34:54.648,133.01334008780816,93.65298885511652,94.81408308004053,424.5
2025-05-28 15:34:54.937,132.91875,92.83529411764705,93.15073529411765,422.0
2025-05-28 15:34:55.207,132.52127470179812,92.5214527327755,92.95638241053943,421.0
2025-05-28 15:34:55.468,132.20206515933774,92.24639487270785,93.11999287876091,420.5
2025-05-28 15:34:55.723,131.32312622396296,91.83318497418551,92.39754317251202,421.0
2025-05-28 15:34:55.979,131.75551470588235,92.27977941176471,92.90110294117648,422.0
2025-05-28 15:34:56.248,132.2612962962963,92.29444444444445,93.3037037037037,421.0
2025-05-28 15:34:56.525,132.50571195430436,91.90840473276214,92.671766625867,421.0
2025-05-28 15:34:56.791,139.6769626769627,96.44465894465894,97.54011154011154,421.0
2025-05-28 15:34:57.048,133.7448601973684,93.40028782894737,94.55283717105263,422.5
2025-05-28 15:34:57.305,138.28327228327228,97.04884004884005,97.93601953601953,418.0
